date,oneHrFundingRate
2025-05-22T00:00:00.000Z,0
2025-05-23T00:00:00.000Z,2.6666666666666667e-8
2025-05-24T00:00:00.000Z,0
2025-05-25T00:00:00.000Z,0
2025-05-26T00:00:00.000Z,0
2025-05-27T00:00:00.000Z,0
2025-05-28T00:00:00.000Z,6.520833333333334e-7
2025-05-29T00:00:00.000Z,2.75e-8
2025-05-30T00:00:00.000Z,2.6666666666666667e-8
2025-05-31T00:00:00.000Z,4.4166666666666665e-8
2025-06-01T00:00:00.000Z,5.216666666666667e-7
2025-06-02T00:00:00.000Z,3.541666666666666e-8
2025-06-03T00:00:00.000Z,0
2025-06-04T00:00:00.000Z,0
2025-06-05T00:00:00.000Z,9.166666666666668e-9
2025-06-06T00:00:00.000Z,0
2025-06-07T00:00:00.000Z,0
2025-06-08T00:00:00.000Z,0
2025-06-09T00:00:00.000Z,0
2025-06-10T00:00:00.000Z,2.4166666666666665e-8
2025-06-11T00:00:00.000Z,0.0000017145833333333332
2025-06-12T00:00:00.000Z,5e-7
2025-06-13T00:00:00.000Z,0
2025-06-14T00:00:00.000Z,0
2025-06-15T00:00:00.000Z,0
2025-06-16T00:00:00.000Z,0
2025-06-17T00:00:00.000Z,2.9583333333333334e-8
2025-06-18T00:00:00.000Z,4.929166666666667e-7
2025-06-19T00:00:00.000Z,1.2083333333333332e-8
2025-06-20T00:00:00.000Z,1.9583333333333337e-8
2025-06-21T00:00:00.000Z,0
